Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,TotalSlope,NightSki,TotalLifts,LiftCapacity
Oberjoch-Bad Hindelang-– Iseler,Germany,1559,1130,38,32,Yes,6,12388
Mönichkirchen-​Mariensee,Austria,1450,870,35,13,No,6,6741
Grächen,Switzerland,2864,1619,48,42,No,15,13860
Puigmal,France,2700,1830,0,32,No,13,11865
Kranzberg-Mittenwald,Germany,1350,980,29,15,Yes,10,5850
Wetterstein lifts-Wettersteinbahnen-– Ehrwald,Austria,1530,1000,43,23,No,10,5425
Stuhleck-Spital am Semmering,Austria,1774,777,42,24,Yes,9,14400
Glacier 3000 / Les Diablerets,Switzerland,3016,1343,54,25,No,10,10260
Rossfeld - Berchtesgaden - Oberau,Germany,1554,1300,20,8,Yes,4,3229
Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226,1200,50,200,Yes,52,82641
Tignes - ​Val d'Isère,France,3456,1550,56,300,No,86,145461
Livigno – Carosello/​Mottolino,Italy,2798,1816,46,115,Yes,44,50850
Courchevel (Les 3 Vallées),France,3230,1110,61,600,Yes,165,250860
Les Gets (Les Portes du Soleil),France,2466,1000,51,580,Yes,174,252280
Avoriaz (Les Portes du Soleil),France,2466,1000,51,580,Yes,174,252280
Châtel (Les Portes du Soleil),France,2466,1000,51,580,Yes,174,252280
Kitzbühel / Kirchberg (KitzSki),Austria,2000,800,55,179,Yes,54,92510
Obergurgl-Hochgurgl,Austria,3082,1793,50,110,Yes,28,38861
Hafjell,Norway,1030,195,45,44,Yes,18,21060
Voss,Norway,960,284,43,40,No,11,11900
Kaunertal Glacier (Kaunertaler Gletscher),Austria,3108,2180,43,21,No,9,13200
Geilosiden Geilo,Norway,1178,800,44,34,Yes,24,14225
Ski Juwel Alpbachtal Wildschönau,Austria,2025,830,46,93,Yes,47,52789
Reither Kogel-Reith im Alpbachtal,Austria,1280,670,46,4,Yes,5,4070
Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,284,Yes,105,147250
Westendorf (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,284,Yes,105,147250
Söll (SkiWelt Wilder Kaiser-Brixental),Austria,1957,620,49,284,Yes,105,147250
Kitzsteinhorn - Kaprun,Austria,3029,1978,50,41,No,17,33598
Saint Martin de Belleville (Les 3 Vallées),France,3230,1110,61,600,Yes,165,250860
La Plagne (Paradiski),France,3167,1207,50,225,No,100,136733
Schladming (4-Berge-Skischauke),Austria,2015,745,52,123,Yes,46,71842
Alpe d'Huez,France,3330,1125,51,250,Yes,68,92097
Formigal,Spain,2251,1501,44,137,No,20,29450
Axamer Lizum,Austria,2340,1580,38,30,No,10,13322
Bansko,Bulgaria,2560,990,30,48,Yes,17,24233
Baqueira / ​Beret,Spain,2510,1471,50,150,No,35,53997
Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1900,800,52,112,Yes,35,49232
Bonneval sur Arc,France,3000,1850,28,25,No,11,8213
Brauneck Lenggries ​Wegscheid,Germany,1712,700,35,34,Yes,21,19100
Brunni - Engelberg,Switzerland,2040,1050,38,7,No,5,2577
Madonna di Campiglio-​Pinzolo-​Folgàrida-​Marilleva,Italy,2504,770,50,150,Yes,65,102340
Le Lys - Cauterets,France,1360,932,37,36,No,11,13038
Pont d'Espagne - Cauterets,France,1756,1516,35,4,No,4,4150
Cervinia,Switzerland,3899,1562,81,322,No,63,93464
Grands Montets-Argentière (Chamonix),France,3275,1252,62,29,No,9,15756
Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270,1453,51,29,No,12,14860
Crans-Montana,Switzerland,1510,540,60,140,No,23,29500
Rinerhorn (Davos Klosters),Switzerland,2490,1454,48,40,No,7,6900
Jakobshorn (Davos Klosters),Switzerland,2590,1540,58,41,No,13,15800
Pischa (Davos Klosters),Switzerland,2483,1800,40,0,No,1,800
Madrisa (Davos Klosters),Switzerland,2611,1142,52,26,No,10,6640
Cortina d'Ampezzo,Italy,2924,1224,52,120,No,40,48089
St. Moritz - Corviglia,Switzerland,3057,1720,69,155,No,28,31220
Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069,1000,40,192,Yes,83,90852
Fonna Glacier,Norway,1460,1200,42,5,No,1,1200
Galtür,Austria,2300,1600,40,43,Yes,13,15442
Glencoe Mountain,United Kingdom,1070,360,35,24,No,8,5800
Golm,Austria,2110,650,48,26,No,11,16240
Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2640,1710,47,210,Yes,72,99017
El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,210,Yes,72,99017
Gresse en Vercors,France,1751,1245,19,20,No,11,6808
Wasserngrat (Gstaad),Switzerland,1900,1275,54,9,No,1,900
Wispile (Gstaad),Switzerland,1941,1046,54,8,Yes,5,3601
Heiti - Gsteig (Gstaad),Switzerland,1370,1227,54,1,No,1,600
Arosa Lenzerheide,Switzerland,2865,1229,63,225,Yes,50,63936
Villars -​ Gryon / Les Diablerets,Switzerland,2120,1224,54,100,No,33,38905
Verbier (4 Vallées),Switzerland,3330,821,66,412,Yes,75,85022
Nendaz (4 Vallées),Switzerland,3330,821,66,412,Yes,75,85022
Thyon (4 Vallées),Switzerland,3330,821,66,412,Yes,75,85022
Veysonnaz (4 Vallées),Switzerland,3330,821,66,412,Yes,75,85022
Ischgl,Austria,2872,1377,52,238,No,45,88215
Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2320,944,55,102,No,26,29250
Kranjska Gora,Slovenia,1215,800,33,20,Yes,20,17774
Kuühtai,Austria,2520,1938,37,41,Yes,12,17254
La Grave - La Meije,France,3534,1470,49,3,No,3,1460
Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43,160,No,40,53669
La Thuile / La Rosière - Espace San Bernardo,Italy,2641,1176,43,160,No,40,53669
La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230,1110,61,600,Yes,165,250860
The Lecht,United Kingdom,775,637,33,18,Yes,13,9750
Les Deux alpes,France,3560,1280,49,200,Yes,54,72334
Les Contamines-​Hauteluce,France,2437,1164,39,120,Yes,24,33972
Les Orres,France,2720,1550,35,100,No,20,21020
Courmayeur / Chécrouit -​ Val Veny,Italy,2755,1205,46,41,No,18,24497
Zermatt - Matterhorn,Switzerland,3899,1562,81,322,No,63,93464
Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500,630,52,136,No,57,82432
Nevis Range,United Kingdom,655,91,36,20,No,12,10350
Obertauern,Austria,2313,1630,46,100,Yes,31,50797
Levi,Finland,531,206,43,37,Yes,29,30110
Ruka,Finland,492,291,43,18,Yes,22,22915
Hedelands Skicenter,Denmark,78,33,17,0,No,0,1600
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096,830,53,270,Yes,71,135104
Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096,830,53,270,Yes,71,135104
Saas-Fee,Switzerland,3573,1800,63,100,No,25,25160
Sainte-Foy-Tarentaise,France,2620,1550,31,41,No,6,7100
Val Senales Glacier,Italy,3212,2011,44,27,No,14,15838
Serfaus-Fiss-Ladis,Austria,2820,1200,49,198,Yes,68,78460
Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49,250,Yes,61,72066
Sestriere ski resort (Via Lattea),Italy,2749,1372,48,400,Yes,71,96433
Silvretta Montafon,Austria,2430,700,53,113,No,53,67472
Wagrain (Ski amedé),Austria,1980,740,52,115,No,49,75398
Flachau (Ski amedé),Austria,1980,740,52,115,No,49,75398
Valchiavenna – Madesimo/​Campodolcino,Italy,1550,1082,39,48,Yes,13,26060
St. Anton (Ski Arlberg),Austria,2811,1270,53,304,No,113,145127
Lech (Ski Arlberg),Austria,2811,1270,53,304,No,113,145127
Zürs (Ski Arlberg),Austria,2811,1270,53,304,No,113,145127
St. Christoph (Ski Arlberg),Austria,2811,1270,53,304,No,113,145127
Sierra Nevada-Pradollano,Spain,3282,2100,47,107,Yes,21,59205
St. Johann in Tirol,Austria,1604,659,44,43,Yes,20,21100
Bad Gastein,Austria,2300,860,52,86,No,26,32699
Kronplatz (Plan de Corones),Italy,2275,973,54,119,Yes,32,71205
Gargellen,Austria,2300,1423,47,28,No,9,10650
Hochschwarzeck,Germany,1385,1030,22,4,No,4,2880
Arcalís-Ordino (Vallnord),Andorra,2625,1940,37,30,No,15,14240
