song_name,album_name,track_number,popularity,danceability,energy,loudness,mode,instrumentalness,valence,tempo
The Wreckers (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,15,14,0.359,0.91,-4.183,0,0.013,0.347,124.107
Headlong Flight (with Clockwork Angels String Ensemble) / Drumbastica [Drum Solo] [Live on Clockwork Angels Tour],Clockwork Angels Tour,16,15,0.152,0.973,-4.015,1,0.172,0.199,89.362
Peke's Repose (Guitar Solo) / Halo Effect [with Clockwork Angels String Ensemble] [Live on Clockwork Angels Tour],Clockwork Angels Tour,17,13,0.219,0.718,-6.159,1,0.0892,0.321,151.789
Seven Cities of Gold (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,18,13,0.256,0.975,-3.897,1,0.00963,0.42,112.84
Wish Them Well (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,19,12,0.348,0.963,-4.324,1,0.000334,0.387,117.243
The Garden (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,20,18,0.301,0.726,-4.878,1,0.00236,0.146,80.553
Dreamline (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,21,15,0.284,0.955,-3.108,1,0.213,0.42,145.668
The Percussor (i. Binary Love Theme / ii. Steambanger's Ball) [Drum Solo] [Live on Clockwork Angels Tour],Clockwork Angels Tour,22,13,0.282,0.805,-11.009,1,0.649,0.184,144.447
Red Sector A (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,23,16,0.343,0.774,-5.239,0,0.0208,0.173,115.436
YYZ (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,24,15,0.264,0.975,-5.005,1,0.809,0.241,135.516
The Spirit of Radio (Live on Clockwork Angels Tour),Clockwork Angels Tour,25,15,0.176,0.989,-3.898,1,0.0512,0.227,136.759
Tom Sawyer (Live on Clockwork Angels Tour),Clockwork Angels Tour,26,16,0.231,0.959,-4.763,1,0.0168,0.208,85.362
2112 - Live,Clockwork Angels Tour,27,15,0.21,0.981,-4.304,1,0.169,0.307,133.609
Limelight (Live on Clockwork Angels Tour),Clockwork Angels Tour,28,15,0.328,0.889,-4.884,1,0.362,0.708,130.507
Middletown Dreams (Live on Clockwork Angels Tour),Clockwork Angels Tour,29,14,0.344,0.957,-4.422,0,0.000673,0.347,139.569
The Pass (Live on Clockwork Angels Tour),Clockwork Angels Tour,30,14,0.425,0.918,-3.942,1,0.00233,0.59,114.744
Manhattan Project (with Clockwork Angels String Ensemble) [Live on Clockwork Angels Tour],Clockwork Angels Tour,31,14,0.337,0.933,-4.07,0,0.00112,0.162,80.606
Caravan,Clockwork Angels,1,34,0.51,0.917,-5.469,0,0.0038,0.522,126.789
BU2B,Clockwork Angels,2,32,0.336,0.944,-5.414,0,0.0314,0.384,151.564
Clockwork Angels,Clockwork Angels,3,32,0.422,0.952,-6.232,1,0.00733,0.15,119.919
The Anarchist,Clockwork Angels,4,31,0.455,0.905,-6.831,1,0.154,0.632,139.944
Carnies,Clockwork Angels,5,27,0.417,0.92,-7.049,0,0.0424,0.262,140.029
Halo Effect,Clockwork Angels,6,27,0.427,0.776,-8.038,1,0.0423,0.379,78.003
Seven Cities of Gold,Clockwork Angels,7,28,0.505,0.945,-5.913,0,0.0685,0.515,111.975
The Wreckers,Clockwork Angels,8,29,0.426,0.882,-5.047,0,0.0255,0.517,124.044
Headlong Flight,Clockwork Angels,9,32,0.429,0.962,-5.178,0,0.261,0.285,89.956
BU2B2,Clockwork Angels,10,25,0.676,0.239,-15.316,1,0.0,0.547,110.034
Wish Them Well,Clockwork Angels,11,26,0.536,0.958,-5.073,1,0.0013,0.484,116.024
The Garden,Clockwork Angels,12,35,0.344,0.798,-5.053,0,0.0847,0.217,160.101
Tom Sawyer - Live in Cleveland - MP Version,Moving Pictures: Live 2011,1,15,0.185,0.931,-3.708,1,4.91e-05,0.284,172.173
Red Barchetta - Live in Cleveland - MP Version,Moving Pictures: Live 2011,2,14,0.202,0.949,-3.182,1,0.000124,0.236,145.595
YYZ - Live in Cleveland - MP Version,Moving Pictures: Live 2011,3,13,0.211,0.986,-3.804,1,0.75,0.158,140.449
Limelight - Live in Cleveland - MP Version,Moving Pictures: Live 2011,4,14,0.378,0.974,-3.38,0,2.44e-05,0.63,129.776
The Camera Eye - Live in Cleveland - MP Version,Moving Pictures: Live 2011,5,13,0.267,0.9,-3.858,1,0.00762,0.0738,80.909
Witch Hunt - Live in Cleveland - MP Version,Moving Pictures: Live 2011,6,12,0.246,0.887,-3.882,1,0.000201,0.322,122.333
Vital Signs - Live in Cleveland - MP Version,Moving Pictures: Live 2011,7,12,0.364,0.932,-3.619,0,1.97e-06,0.417,142.433
The Spirit of Radio - Live in Cleveland,Time Machine 2011: Live In Cleveland,1,21,0.296,0.98,-3.561,1,0.000746,0.455,135.88
Time Stand Still - Live in Cleveland,Time Machine 2011: Live In Cleveland,2,26,0.362,0.925,-3.55,1,0.000424,0.524,136.162
Presto - Live in Cleveland,Time Machine 2011: Live In Cleveland,3,20,0.401,0.913,-4.142,1,1.38e-05,0.444,113.693
Stick It Out - Live in Cleveland,Time Machine 2011: Live In Cleveland,4,16,0.413,0.918,-3.973,0,5.24e-06,0.184,119.751
Workin' Them Angels - Live in Cleveland,Time Machine 2011: Live In Cleveland,5,17,0.36,0.934,-3.727,1,0.0,0.371,89.96
Leave That Thing Alone - Live in Cleveland,Time Machine 2011: Live In Cleveland,6,21,0.449,0.959,-5.276,0,0.837,0.58,119.865
Faithless - Live in Cleveland,Time Machine 2011: Live In Cleveland,7,16,0.218,0.924,-2.993,1,1.12e-05,0.314,128.19
BU2B - Live In Cleveland,Time Machine 2011: Live In Cleveland,8,15,0.2,0.961,-3.09,1,0.000199,0.557,151.391
Free Will - Live in Cleveland,Time Machine 2011: Live In Cleveland,9,18,0.181,0.988,-3.467,1,6.93e-05,0.239,152.4
Marathon - Live in Cleveland,Time Machine 2011: Live In Cleveland,10,19,0.225,0.945,-3.171,1,1.99e-06,0.271,157.565
Subdivisions - Live in Cleveland,Time Machine 2011: Live In Cleveland,11,19,0.3,0.927,-3.733,0,0.000405,0.296,135.768
Tom Sawyer - Live in Cleveland,Time Machine 2011: Live In Cleveland,12,18,0.31,0.932,-3.648,1,2.47e-05,0.252,86.576
